Rank,Artist,Song,Genre,Year,Lyrics
33,Pulp,Common People,Britpop   ,1995,"She came from Greece, she had a thirst for knowledge
She studied sculpture at Saint Martin's College
That's where I
Caught her eye
She told me that her Dad was loaded
I said, ""In that case, I'll have rum and Coca-Cola.""
She said, ""Fine""
And then in thirty-seconds time she said

""I wanna live like common people
I wanna do whatever common people do
Wanna sleep with common people
I wanna sleep with common people like you.""
Well, what else could I do?
I said, ""I'll... I'll see what I can do.""

I took her to a supermarket
I don't know why but I had to start it somewhere
So it started there
I said, ""Pretend you got no money.""
And she just laughed and said, ""Oh, you're so funny.""
I said, ""Yeah
Well, I can't see anyone else smiling in here
Are you sure?

You wanna live like common people
You wanna see whatever common people see
Wanna sleep with common people
You wanna sleep with common people like me?
But she didn't understand
And she just smiled and held my hand

Oh, rent a flat above a shop
And cut your hair and get a job
And smoke some fags and play some pool
Pretend you never went to school
But still you'll never get it right
'Cause when you're laid in bed at night
Watching roaches climb the wall
If you called your dad he could stop it all
Yeah

You'll never live like common people
You'll never do what ever common people do
Never fail like common people
You'll never watch your life slide out of view
And then dance, and drink, and screw
Because there's nothing else to do
Oh!

Sing along with the common people
Sing along and it might just get you through
Laugh along with the common people
Laugh along, even though they're laughing at you
And the stupid things that you do
Because you think that poor is cool

Like a dog lying in a corner
They will bite you and never warn you
Look out, they'll tear your insides out
'Cause everybody hates a tourist
Especially one who, who thinks it's all such a laugh
Yeah, and the chip stain's and grease will come out in the bath

You will never understand
How it feels to live your life
With no meaning or control
And with nowhere left to go
You are amazed that they exist
And they burn so bright whilst you can only wonder why

Rent a flat above a shop
Cut your hair and get a job
And smoke some fags and play some pool
Pretend you never went to school
But still you'll never get it right
'Cause when you're laid in bed at night
Watching roaches climb the wall
If you called your dad he could stop it all, yeah

Never live like common people
Never do what common people do
Never fail like common people
Never watch your life slide out of view
And then dance and drink, and screw
Because there's nothing else to do

Wanna live with common people like you
Wanna live with common people like you
Wanna live with common people like you
Wanna live with common people like you
Wanna live with common people like you
Wanna live with common people like you
Wanna live with common people like you

A la la la la la
Ooooh, la la la la
Ooooh, la la la la
Ooooh, la la-la-la-la la, oh yeah"
34,The Rolling Stones,Gimme Shelter,Blues Rock   ,1969, 
35,Billie Holiday,Strange Fruit,Vocal Jazz   ,1939,"Southern trees bear a strange fruit
Blood on the leaves and blood at the root
Black bodies swinging in the Southern breeze
Strange fruit hanging from the poplar trees

Pastoral scene of the gallant South
The bulging eyes and the twisted mouth
Scent of magnolias sweet and fresh
Then the sudden smell of burning flesh

Here is a fruit for the crows to pluck
For the rain to gather, for the wind to suck
For the sun to rot, for the tree to drop
Here is a strange and bitter crop"
36,The Kinks,You Really Got Me,"Garage Rock,Mod,Proto-Punk ",1964, 
37,Beyoncé feat. Jay-Z,Crazy in Love,"Contemporary R&B,Dance-Pop  ",2003, 
38,The White Stripes,Seven Nation Army,"Alternative Rock,Blues Rock,Garage Rock Revival ",2003, 
39,R.E.M.,Losing My Religion,Jangle Pop   ,1991,"Oh life, it's bigger
It's bigger than you
And you are not me
The lengths that I will go to
The distance in your eyes
Oh no, I've said too much
I set it up

That's me in the corner
That's me in the spotlight
Losing my religion
Trying to keep up with you
And I don't know if I can do it
Oh no, I've said too much
I haven't said enough

I thought that I heard you laughing
I thought that I heard you sing
I think I thought I saw you try

Every whisper
Of every waking hour
I'm choosing my confessions
Trying to keep an eye on you
Like a hurt, lost and blinded fool, fool
Oh no, I've said too much
I set it up

Consider this
Consider this, the hint of the century
Consider this, the slip
That brought me to my knees, failed
What if all these fantasies come
Flailing around
Now I've said too much

I thought that I heard you laughing
I thought that I heard you sing
I think I thought I saw you try

But that was just a dream
That was just a dream

That's me in the corner
That's me in the spotlight
Losing my religion
Trying to keep up with you
And I don't know if I can do it
Oh no, I've said too much
I haven't said enough

I thought that I heard you laughing
I thought that I heard you sing
I think I thought I saw you try

But that was just a dream
Try, cry, why try
That was just a dream
Just a dream
Just a dream, dream"
40,Sex Pistols,God Save the Queen,Punk Rock   ,1977,"God save the queen
The fascist regime
They made you a moron
Potential H-bomb

God save the queen
She ain't no human being
There is no future
In England's dreaming

Don't be told what you want
Don't be told what you need
There's no future, no future,
No future for you

God save the queen
We mean it man
We love our queen
God saves

God save the queen
'Cause tourists are money
And our figurehead
Is not what she seems

Oh God save history
God save your mad parade
Oh Lord God have mercy
All crimes are paid

When there's no future
How can there be sin
We're the flowers in the dustbin
We're the poison in your human machine
We're the future, your future

God save the queen
We mean it man
We love our queen
God saves

God save the queen
We mean it man
And there is no future
In England's dreaming

No future, no future,
No future for you
No future, no future,
No future for me

No future, no future,
No future for you
No future, no future
For you"
41,Queen,Bohemian Rhapsody,"Art Rock,Rock Opera  ",1975, 
42,New Order,Blue Monday,"Alternative Dance,Synthpop  ",1983,"How does it feel
To treat me like you do?
When you've laid your hands upon me
And told me who you are?

I thought I was mistaken
I thought I heard your words
Tell me how do I feel?
Tell me now, how do I feel?

Those who came before me
Lived through their vocations
From the past until completion
They'll turn away no more

And still, I find it so hard
To say what I need to say
But, I'm quite sure that you'll tell me
Just how I should feel today

I see a ship in the harbour
I can and shall obey
But, if it wasn't for your misfortune
I'd be a heavenly person today 

And I thought I was mistaken
And I thought I heard you speak
Tell me, how do I feel?
Tell me now, how should I feel?
Now I stand here waiting

I thought I told you to leave me
While I walked down to the beach
Tell me how does it feel
When your heart grows cold?
(Grows cold, grows cold, grows cold, grows cold)"
43,The Jimi Hendrix Experience,Purple Haze,"Acid Rock,Hard Rock  ",1967, 
44,The Kingsmen,Louie Louie,"Garage Rock,Proto-Punk,Rhythm & Blues ",1963, 
45,The Jackson 5,I Want You Back,"Bubblegum,Motown Sound  ",1969, 
46,Gnarls Barkley,Crazy,Neo-Soul   ,2006,"I remember when, I remember, I remember when I lost my mind
There was something so pleasant about that place.
Even your emotions had an echo
In so much space

And when you're out there
Without care,
Yeah, I was out of touch
But it wasn't because I didn't know enough
I just knew too much

Does that make me crazy?
Does that make me crazy?
Does that make me crazy?
Possibly [radio version]
probably [album version]

And I hope that you are having the time of your life
But think twice, that's my only advice

Come on now, who do you, who do you, who do you, who do you think you are,
Ha ha ha bless your soul
You really think you're in control

Well, I think you're crazy
I think you're crazy
I think you're crazy
Just like me

My heroes had the heart to lose their lives out on a limb
And all I remember is thinking, I want to be like them
Ever since I was little, ever since I was little it looked like fun
And it's no coincidence I've come
And I can die when I'm done

Maybe I'm crazy
Maybe you're crazy
Maybe we're crazy
Probably

Uh, uh"
47,The Righteous Brothers,You've Lost That Lovin' Feelin',"Blue Eyed Soul,Brill Building  ",1964, 
48,The Beatles,Hey Jude,Piano Rock   ,1968, 
49,The Kinks,Waterloo Sunset,Pop Rock   ,1967, 
50,Franz Ferdinand,Take Me Out,Post-Punk Revival   ,2004,"So if you're lonely, you know I'm here waiting for you
I'm just a cross-hair, I'm just a shot away from you
And if you leave here, you leave me broken, shattered I lie
I'm just a cross-hair, I'm just a shot, then we can die
Oh, oh, oh
I know I won't be leaving here with you

I say, don't you know?
You say you don't know
I say: take me out
I say you don't show
Don't move, time is slow
I say: take me out

Well, I say you don't know
You say you don't know
I say: take me out
If I move, this could die
If eyes move, this could die
I want you to take me out

I know I won't be leaving here (With you)
I know I won't be leaving here
I know I won't be leaving here (With you)
I know I won't be leaving here with you

I say, don't you know?
You say you don't know
I say: take me out
If I wane, this could die
If I wait, this could die
I want you to take me out
If I move, this could die
Eyes move, this can die
Come on, take me out

I know I won't be leaving here (With you)
I know I won't be leaving here
I know I won't be leaving here (With you)
I know I won't be leaving here with you"
51,Missy Elliott,Get Ur Freak On,Pop Rap   ,2001, 
52,The Crickets,That'll Be the Day,Rockabilly   ,1957, 
53,The Doors,Light My Fire,Psychedelic Rock   ,1967, 
54,Donna Summer,I Feel Love,Hi-NRG   ,1977,"Ooh
It's so good, it's so good
It's so good, it's so good
It's so good
Ooh
Heaven knows, heaven knows
Heaven knows, heaven knows
Heaven knows
Ooh
I feel love, I feel love
I feel love, I feel love
I feel love

I feel love, I feel love, I feel love

Ooh
Fallin' free, fallin' free
Fallin' free, fallin' free
Fallin' free
Ooh
You and me, you and me
You and me, you and me
You and me
Ooh
I feel love, I feel love
I feel love, I feel love
I feel love

I feel love, I feel love, I feel love

Ooh
I'll get you, I'll get you
I'll get you, I'll get you
I'll get you
Ooh
What you do, what you do
What you do, what you do
What you do
Ooh
I feel love, I feel love
I feel love, I feel love
I feel love

I feel love, I feel love, I feel love"
55,The Smiths,There Is a Light That Never Goes Out,"Indie Pop,Jangle Pop  ",1986, 
56,David Bowie,Space Oddity,"Art Pop,Progressive Pop,Psychedelic Pop ",1969,"Ground Control to Major Tom
Ground Control to Major Tom
Take your protein pills and put your helmet on

(Ten)
Ground Control
(Nine)
To Major Tom
(Eight, seven, six)
Commencing countdown
(Five)
Engines on
(Four, three, two)
Check ignition
(One)
And may God's love
(Lift-off)
Be with you

This is Ground Control to Major Tom
You've really made the grade
And the papers want to know whose shirts you wear
Now it's time to leave the capsule if you dare

This is Major Tom to Ground Control
I'm stepping through the door
And I'm floating in a most peculiar way
And the stars look very different today

For here am I sitting in a tin can
Far above the world
Planet Earth is blue
And there's nothing I can do

Though I'm past one hundred thousand miles
I'm feeling very still
And I think my spaceship knows which way to go
Tell my wife I love her very much
She knows

Ground Control to Major Tom
Your circuit's dead, there's something wrong
Can you hear me, Major Tom?
Can you hear me, Major Tom?
Can you hear me, Major Tom?
Can you he—

Here am I floating 'round my tin can
Far above the Moon
Planet Earth is blue
And there's nothing I can do"
